ntree,maxnodes,nodesize,mtry,accTa,accTe
50,1000,3,1,0.9585,0.8961
60,1000,3,1,0.95868,0.89425
70,1000,3,1,0.95815,0.89404
80,1000,3,1,0.95868,0.89549
90,1000,3,1,0.95921,0.8961
100,1000,3,1,0.96035,0.89796
110,1000,3,1,0.96071,0.89961
120,1000,3,1,0.96115,0.89734
130,1000,3,1,0.96106,0.89713
140,1000,3,1,0.96071,0.89734
150,1000,3,1,0.96044,0.89775
160,1000,3,1,0.96053,0.89858
170,1000,3,1,0.96009,0.89775
180,1000,3,1,0.96035,0.89734
190,1000,3,1,0.95974,0.89734
200,1000,3,1,0.95947,0.89363
210,1000,3,1,0.95965,0.89631
220,1000,3,1,0.95974,0.8959
230,1000,3,1,0.95938,0.8959
240,1000,3,1,0.95947,0.89528
250,1000,3,1,0.95947,0.89631
260,1000,3,1,0.95938,0.8959
270,1000,3,1,0.95929,0.89652
280,1000,3,1,0.95921,0.8959
290,1000,3,1,0.95929,0.89528
300,1000,3,1,0.95956,0.89569
10,1100,3,1,0.96389,0.88971
20,1100,3,1,0.96804,0.89817
30,1100,3,1,0.96857,0.90229
40,1100,3,1,0.96936,0.90311
50,1100,3,1,0.96962,0.90497
60,1100,3,1,0.96918,0.90208
70,1100,3,1,0.96998,0.90414
